Folder, Filename, Result, ExitCode, minimizeTime, lydiaPreprocessTime, Time, Memory, lastSearchedDfaSz, subAfNum, checkAllRealTime, checkAllRealRes, dfaCombRes
GFand, gfand01, Unrealizable, 0, 0.000, 0.068, 0.072, 0.256, 0, byPreprocess, no_output, no_output, no_output
GFand, gfand02, Unrealizable, 0, 0.000, 0.081, 0.085, 0.256, 0, byPreprocess, no_output, no_output, no_output
GFand, gfand03, Unrealizable, 0, 0.000, 0.069, 0.073, 0.256, 0, byPreprocess, no_output, no_output, no_output
GFand, gfand04, Unrealizable, 0, 0.000, 0.068, 0.072, 0.256, 0, byPreprocess, no_output, no_output, no_output
GFand, gfand05, Unrealizable, 0, 0.000, 0.069, 0.074, 0.256, 0, byPreprocess, no_output, no_output, no_output
GFand, gfand06, Unrealizable, 0, 0.000, 0.069, 0.073, 0.256, 0, byPreprocess, no_output, no_output, no_output
GFand, gfand07, Unrealizable, 0, 0.000, 0.072, 0.077, 0.256, 0, byPreprocess, no_output, no_output, no_output
GFand, gfand08, Unrealizable, 0, 0.000, 0.068, 0.073, 0.256, 0, byPreprocess, no_output, no_output, no_output
GFand, gfand09, Unrealizable, 0, 0.000, 0.069, 0.073, 0.256, 0, byPreprocess, no_output, no_output, no_output
GFand, gfand10, Unrealizable, 0, 0.000, 0.069, 0.073, 0.256, 0, byPreprocess, no_output, no_output, no_output
GFand, gfand11, Unrealizable, 0, 0.000, 0.072, 0.077, 0.256, 0, byPreprocess, no_output, no_output, no_output
GFand, gfand12, Unrealizable, 0, 0.000, 0.069, 0.074, 0.256, 0, byPreprocess, no_output, no_output, no_output
GFand, gfand13, Unrealizable, 0, 0.000, 0.069, 0.074, 0.256, 0, byPreprocess, no_output, no_output, no_output
GFand, gfand14, Unrealizable, 0, 0.000, 0.072, 0.077, 0.256, 0, byPreprocess, no_output, no_output, no_output
GFand, gfand15, Unrealizable, 0, 0.000, 0.068, 0.073, 0.256, 0, byPreprocess, no_output, no_output, no_output
GFand, gfand16, Unrealizable, 0, 0.000, 0.069, 0.073, 0.256, 0, byPreprocess, no_output, no_output, no_output
GFand, gfand17, Unrealizable, 0, 0.000, 0.069, 0.073, 0.256, 0, byPreprocess, no_output, no_output, no_output
