Folder, Filename, Result, ExitCode, minimizeTime, lydiaPreprocessTime, Time, Memory, lastSearchedDfaSz
GFand, gfand01, Unrealizable, 0, 0.000, 0.203, 0.260, 0.256, 0
GFand, gfand02, Unrealizable, 0, 0.000, 0.116, 0.126, 0.256, 0
GFand, gfand03, Unrealizable, 0, 0.000, 0.074, 0.084, 0.256, 0
GFand, gfand04, Unrealizable, 0, 0.000, 0.076, 0.086, 0.256, 0
GFand, gfand05, Unrealizable, 0, 0.000, 0.076, 0.086, 0.256, 0
GFand, gfand06, Unrealizable, 0, 0.000, 0.079, 0.087, 0.256, 0
GFand, gfand07, Unrealizable, 0, 0.000, 0.074, 0.084, 0.256, 0
GFand, gfand08, Unrealizable, 0, 0.000, 0.074, 0.084, 0.256, 0
GFand, gfand09, Unrealizable, 0, 0.000, 0.077, 0.087, 0.256, 0
GFand, gfand10, Unrealizable, 0, 0.000, 0.076, 0.086, 0.256, 0
GFand, gfand11, Unrealizable, 0, 0.000, 0.070, 0.078, 0.257, 0
GFand, gfand12, Unrealizable, 0, 0.000, 0.066, 0.075, 0.257, 0
GFand, gfand13, Unrealizable, 0, 0.000, 0.067, 0.077, 0.257, 0
GFand, gfand14, Unrealizable, 0, 0.000, 0.063, 0.075, 0.258, 0
GFand, gfand15, Unrealizable, 0, 0.000, 0.066, 0.087, 0.261, 0
GFand, gfand16, Unrealizable, 0, 0.000, 0.073, 0.116, 0.265, 0
GFand, gfand17, Unrealizable, 0, 0.000, 0.071, 0.190, 0.273, 0
GFand, gfand18, Unrealizable, 0, 0.000, 0.070, 0.323, 0.290, 0
GFand, gfand19, Unrealizable, 0, 0.000, 0.057, 0.647, 0.340, 0
GFand, gfand20, Unrealizable, 0, 0.000, 0.060, 1.451, 0.408, 0
Uright, uright01, Unrealizable, 0, 0.000, 0.203, 0.254, 0.256, 0
Uright, uright02, Realizable, 0, 0.000, 0.080, 0.090, 0.256, 0
Uright, uright03, Realizable, 0, 0.000, 0.024, 0.033, 0.256, 0
