Folder, Filename, Result, ExitCode, minimizeTime, lydiaPreprocessTime, Time, Memory, lastSearchedDfaSz, subAfNum, checkAllRealTime, checkAllRealRes, dfaCombRes
GFand, gfand01, Unrealizable, 0, 0.000, 0.073, 0.088, 0.256, 0, may_error, no_output, no_output, no_output
GFand, gfand02, Unrealizable, 0, 0.000, 0.069, 0.080, 0.256, 0, may_error, no_output, no_output, no_output
GFand, gfand03, Unrealizable, 0, 0.000, 0.071, 0.082, 0.256, 0, may_error, no_output, no_output, no_output
GFand, gfand04, Unrealizable, 0, 0.000, 0.072, 0.083, 0.256, 0, may_error, no_output, no_output, no_output
GFand, gfand05, Unrealizable, 0, 0.000, 0.068, 0.079, 0.256, 0, may_error, no_output, no_output, no_output
GFand, gfand06, Unrealizable, 0, 0.000, 0.073, 0.085, 0.256, 0, may_error, no_output, no_output, no_output
GFand, gfand07, Unrealizable, 0, 0.000, 0.076, 0.088, 0.256, 0, may_error, no_output, no_output, no_output
GFand, gfand08, Unrealizable, 0, 0.000, 0.071, 0.083, 0.256, 0, may_error, no_output, no_output, no_output
GFand, gfand09, Unrealizable, 0, 0.000, 0.070, 0.081, 0.256, 0, may_error, no_output, no_output, no_output
GFand, gfand10, Unrealizable, 0, 0.000, 0.066, 0.077, 0.256, 0, may_error, no_output, no_output, no_output
GFand, gfand11, Unrealizable, 0, 0.000, 0.069, 0.081, 0.257, 0, may_error, no_output, no_output, no_output
GFand, gfand12, Unrealizable, 0, 0.000, 0.078, 0.091, 0.257, 0, may_error, no_output, no_output, no_output
GFand, gfand13, Unrealizable, 0, 0.000, 0.074, 0.089, 0.258, 0, may_error, no_output, no_output, no_output
GFand, gfand14, Unrealizable, 0, 0.000, 0.071, 0.090, 0.259, 0, may_error, no_output, no_output, no_output
GFand, gfand15, Unrealizable, 0, 0.000, 0.066, 0.096, 0.261, 0, may_error, no_output, no_output, no_output
GFand, gfand16, Unrealizable, 0, 0.000, 0.075, 0.124, 0.267, 0, may_error, no_output, no_output, no_output
GFand, gfand17, Unrealizable, 0, 0.000, 0.070, 0.225, 0.277, 0, may_error, no_output, no_output, no_output
GFand, gfand18, Unrealizable, 0, 0.000, 0.061, 0.366, 0.314, 0, may_error, no_output, no_output, no_output
GFand, gfand19, Unrealizable, 0, 0.000, 0.063, 0.816, 0.356, 0, may_error, no_output, no_output, no_output
GFand, gfand20, Unrealizable, 0, 0.000, 0.063, 2.068, 0.439, 0, may_error, no_output, no_output, no_output
Uright, uright01, Unrealizable, 0, 0.000, 0.242, 0.303, 0.256, 0, may_error, no_output, no_output, no_output
Uright, uright02, Realizable, 0, 0.000, 0.027, 0.038, 0.256, 0, may_error, no_output, no_output, no_output
Uright, uright03, Realizable, 0, 0.000, 0.025, 0.036, 0.256, 0, may_error, no_output, no_output, no_output
Uright, uright04, Realizable, 0, 0.000, 0.024, 0.035, 0.256, 0, may_error, no_output, no_output, no_output
Uright, uright05, Realizable, 0, 0.000, 0.023, 0.035, 0.256, 0, may_error, no_output, no_output, no_output
Uright, uright06, Realizable, 0, 0.000, 0.191, 0.255, 0.256, 0, may_error, no_output, no_output, no_output
Uright, uright07, Realizable, 0, 0.000, 0.024, 0.035, 0.256, 0, may_error, no_output, no_output, no_output
Uright, uright08, Realizable, 0, 0.000, 0.025, 0.037, 0.256, 0, may_error, no_output, no_output, no_output
Uright, uright09, Realizable, 0, 0.000, 0.025, 0.036, 0.256, 0, may_error, no_output, no_output, no_output
Uright, uright10, Realizable, 0, 0.000, 0.027, 0.038, 0.256, 0, may_error, no_output, no_output, no_output
Uright, uright11, Realizable, 0, 0.000, 0.063, 0.079, 0.256, 0, may_error, no_output, no_output, no_output
Uright, uright12, Realizable, 0, 0.000, 0.020, 0.030, 0.256, 0, may_error, no_output, no_output, no_output
Uright, uright13, Realizable, 0, 0.000, 0.020, 0.031, 0.257, 0, may_error, no_output, no_output, no_output
Uright, uright14, Realizable, 0, 0.000, 0.024, 0.039, 0.257, 0, may_error, no_output, no_output, no_output
Uright, uright15, Realizable, 0, 0.000, 0.020, 0.038, 0.259, 0, may_error, no_output, no_output, no_output
Uright, uright16, Realizable, 0, 0.000, 0.063, 0.102, 0.261, 0, may_error, no_output, no_output, no_output
Uright, uright17, Realizable, 0, 0.000, 0.025, 0.090, 0.266, 0, may_error, no_output, no_output, no_output
Uright, uright18, Realizable, 0, 0.000, 0.025, 0.182, 0.277, 0, may_error, no_output, no_output, no_output
Uright, uright19, Realizable, 0, 0.000, 0.023, 0.471, 0.297, 0, may_error, no_output, no_output, no_output
Uright, uright20, Realizable, 0, 0.000, 0.024, 1.283, 0.342, 0, may_error, no_output, no_output, no_output
syft_1, 001, Realizable, 0, 0.000, 0.029, 0.063, 0.259, 0, may_error, no_output, no_output, no_output
syft_1, 002, Realizable, 0, 0.000, 0.024, 0.036, 0.256, 0, may_error, no_output, no_output, no_output
syft_1, 003, Unrealizable, 0, 0.000, 0.048, 0.063, 0.256, 4, may_error, no_output, no_output, no_output
syft_1, 004, Realizable, 0, 0.000, 0.027, 0.038, 0.256, 0, may_error, no_output, no_output, no_output
syft_1, 005, Unrealizable, 0, 0.000, 0.074, 0.362, 0.284, 4, may_error, no_output, no_output, no_output
syft_1, 006, Realizable, 0, 0.000, 0.028, 0.041, 0.257, 0, may_error, no_output, no_output, no_output
syft_1, 007, Realizable, 0, 0.000, 0.024, 0.036, 0.256, 0, may_error, no_output, no_output, no_output
syft_1, 008, Realizable, 0, 0.000, 0.023, 0.034, 0.256, 0, may_error, no_output, no_output, no_output
syft_1, 009, Realizable, 0, 0.000, 0.027, 0.039, 0.256, 0, may_error, no_output, no_output, no_output
syft_1, 010, Realizable, 0, 0.000, 0.028, 0.043, 0.257, 0, may_error, no_output, no_output, no_output
syft_1, 011, Unrealizable, 0, 0.000, 0.073, 0.095, 0.257, 5, may_error, no_output, no_output, no_output
syft_1, 012, Realizable, 0, 0.000, 0.028, 0.041, 0.257, 0, may_error, no_output, no_output, no_output
syft_1, 013, Realizable, 0, 0.000, 0.024, 0.035, 0.256, 0, may_error, no_output, no_output, no_output
syft_1, 014, Unrealizable, 0, 0.000, 0.071, 0.096, 0.257, 4, may_error, no_output, no_output, no_output
syft_1, 015, Unrealizable, 0, 0.000, 0.069, 0.086, 0.257, 5, may_error, no_output, no_output, no_output
syft_1, 016, Unrealizable, 0, 0.000, 0.049, 0.081, 0.257, 4, may_error, no_output, no_output, no_output
syft_1, 017, Unrealizable, 0, 0.000, 0.070, 0.086, 0.257, 4, may_error, no_output, no_output, no_output
syft_1, 018, Unrealizable, 0, 0.000, 0.071, 0.120, 0.262, 4, may_error, no_output, no_output, no_output
syft_1, 019, Realizable, 0, 0.000, 0.023, 0.034, 0.256, 0, may_error, no_output, no_output, no_output
syft_1, 020, Unrealizable, 0, 0.000, 0.072, 0.094, 0.257, 5, may_error, no_output, no_output, no_output
syft_1, 021, Realizable, 0, 0.000, 0.021, 0.030, 0.256, 0, may_error, no_output, no_output, no_output
syft_1, 022, Realizable, 0, 0.000, 0.021, 0.029, 0.256, 0, may_error, no_output, no_output, no_output
syft_1, 023, Unrealizable, 0, 0.000, 0.038, 0.062, 0.257, 4, may_error, no_output, no_output, no_output
